p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
미 니 언,미 니 언,0,3.04,55.00,335.07,1.54,52.07,33이3,KR1,1,4.18,46.91,383.42,0.85,53.21,45.45
대한민국 천안시,KR1,2,4.30,44.83,377.01,0.95,58.49,Hi I am GA,teach,2,2.92,45.82,362.73,0.70,45.45,45.45
뽀삐사루 개추,KR2,0,3.87,47.31,329.80,1.44,53.21,김환성뱃살,113,1,2.71,50.41,407.97,0.87,55.07,50.00
비비빅,비비빅2,1,3.58,37.44,349.60,0.68,60.12,참는다는 마인드,KR1,0,8.69,61.33,278.91,1.92,60.23,71.43
WILD SHACO,KR1,0,3.64,51.67,348.20,1.34,50.00,망 구,입니다,3,2.08,36.71,392.92,0.37,53.57,40.00
티피언,KR1,1,4.73,49.73,380.78,1.31,0.00,AkikA,KR1,0,3.08,47.06,298.44,1.39,51.79,60.00
parliament1,KR1,1,5.06,49.88,418.75,0.86,66.67,쪼렙이다말로하자,8699,2,4.81,43.43,373.58,0.86,54.17,68.18
PaIm,KR1,2,5.49,44.29,355.81,1.40,53.49,일단짖고보는개,KR1,3,3.27,46.08,395.61,1.08,45.76,81.82
SoulCrow,KR1,0,4.68,60.25,287.29,1.87,48.00,Erysichthon,KR1,4,3.79,41.60,382.88,0.78,45.90,46.15
a멋쟁이a,KR1,2,2.62,41.29,357.99,0.85,52.38,sehoho,KR1,2,3.16,46.73,389.97,0.60,52.40,40.00
꽉지은,KR1,3,3.81,49.62,461.48,0.72,55.56,OAO,AAA1,0,3.86,50.44,301.90,2.21,53.57,53.33
저는요져도알빠노,7777,1,4.05,55.10,445.71,0.73,56.76,마라샹구리,하지마라,0,4.48,53.67,277.60,2.03,46.34,50.00
長壽天牛很帥,sichu,4,3.22,51.27,354.26,0.84,45.56,카즈하,주하하,3,1.55,40.93,373.30,0.43,55.39,23.53
도레미레오나,KR1,0,3.31,47.90,266.79,2.14,48.58,솔 민,KR1,1,3.32,49.50,380.76,1.00,52.27,26.32
미드 부캐,KR123,2,4.19,48.79,356.33,0.89,0.00,티모인뒈,KR1,4,3.87,48.67,372.89,0.78,54.35,45.45
이푸카,KR1,2,5.17,46.14,371.90,0.93,52.31,계속 한밤중이면 좋을 텐데,ZUUTO,4,3.14,49.20,422.76,1.01,52.50,57.14
인 연,0102,4,4.82,55.35,440.36,0.96,43.92,새벽산책,KR3,2,4.48,52.50,402.87,0.94,89.47,75.00
ssuya,KR1,1,4.34,48.44,406.26,0.67,26.32,포 로,0905,0,6.36,55.86,266.52,1.87,43.09,69.23
FEARNOT,KR3,3,2.54,36.69,368.46,0.77,60.38,이유석04,0703,4,4.92,57.44,358.50,1.29,55.04,46.15
3캠미드갱,123,4,3.71,51.68,382.37,1.01,55.56,subarasiman,KR1,3,5.21,44.35,404.25,0.59,55.96,73.08
감자탕과소주,KR1,4,3.77,47.25,358.83,1.04,51.67,어지러울 빈,KR1,2,3.18,46.26,406.98,0.63,47.37,38.46
감자탕과소주,KR1,4,3.77,47.25,358.83,1.04,51.67,J H,0315,1,2.15,47.68,399.40,0.51,50.84,54.55
식 인,KR1,1,3.85,51.12,438.82,0.48,54.38,병역기피,KR1,0,7.08,53.30,288.52,1.84,53.47,66.67
롤닉네임변경어떻게해요알려주세요,어떻게바꿔,3,2.69,36.53,379.06,0.68,42.86,요 정,KR1,4,4.35,53.33,373.84,0.98,57.14,26.67
과 니,gwan,0,3.58,52.92,287.35,2.08,50.00,트린버프좀,KR1,3,3.78,45.71,370.15,0.98,52.63,63.64
시야따개,KR1,0,4.87,58.75,269.68,2.77,36.84,모카초코칩프라페,KR1,1,3.19,43.86,355.52,0.78,51.52,50.00
후카다 띵근이,KR1,0,3.19,47.83,288.37,2.30,49.25,따거가든,KR1,3,1.79,43.74,388.93,0.90,50.09,50.00
평타빼고다피함,kr2,4,2.86,49.38,416.06,0.62,51.34,평타빼고다피함,KR1,2,2.65,39.38,338.66,0.92,53.11,56.67
우리바텀을응원해,KR1,2,5.45,44.56,395.79,0.74,57.14,마틸다님,KR1,1,4.32,42.93,417.22,0.84,51.65,68.18
똥맛카레맛똥맛,KR1,0,5.17,59.89,279.65,2.26,55.65,zac,jida,3,3.79,43.38,351.67,0.79,61.54,44.44
poongheol,KR1,0,5.13,57.33,269.84,2.52,0.00,우 쓰,KR01,2,2.63,39.17,350.98,0.82,49.11,50.00
부 표,KR1,0,5.33,49.54,271.38,2.38,43.59,누구양 나얌,KR1,1,3.69,52.61,360.13,0.96,51.96,72.22
도매니져,KR1,2,5.83,44.23,366.98,0.86,51.72,Karina,KR37,2,3.08,48.65,376.33,0.85,51.38,57.14
나는자연이야,KR1,3,3.87,47.23,424.51,0.90,47.79,투자로100억,KR1,3,4.10,45.11,382.94,0.61,56.52,40.00
안양의 멸치담당,KR1,3,2.91,38.19,368.31,0.61,61.90,몰라알수가없어,엄정화,1,2.04,47.83,339.48,1.10,51.24,66.67
play9123,1214,2,6.54,46.75,348.43,1.21,64.29,블라디미륵,vla,3,2.47,52.25,370.85,0.59,57.14,51.85
KSANTE KING,KR1,3,2.88,40.23,422.11,0.69,58.49,Arikured,666,1,4.05,55.20,398.82,1.10,56.03,75.00
